,ID,NAME,NATION,POSITION,TEAM,AGE,90S,SCA,SCA90,GCA,GCA90,TACKLES,TACKLESWIN,VSDRIBLETACKLE,%VSDRIBLETACKLE,BLOCKS,INTERCEPTIONS,TOTALPASSES,%TOTALPASSES,ASSIST,SHOTPASSES,TOTALTOUCHES,TOTALDRIBBLES,%TOTALDRIBBLES,DISTANCE,GOALS,SHOTS,SHOTSONTARGET,FREEKICKS,VAL
289,459,Rober,es ESP,DFMF,Levante,22,21.2,12,0.57,0,0.00,35,22,17,53.1,29,41,555,81.6,0,2,883,8,100.0,1642,0,8,1,0,73
290,460,Roberto,es ESP,GK,Málaga,31,34.0,3,0.09,0,0.00,0,0,0,,0,2,519,52.0,0,2,1074,0,,3027,0,1,0,0,77
291,461,Sergi Roberto,es ESP,DF,Barcelona,25,24.7,63,2.55,12,0.49,63,40,25,51.0,18,39,1634,89.2,7,23,2053,76,71.1,7076,1,8,4,0,84
292,462,Alex Robles,es ESP,DF,Málaga,18,1.0,0,0.00,0,0.00,2,1,0,,1,3,21,61.8,0,0,48,0,,55,0,0,0,0,75
293,463,Marc Roca,es ESP,MF,Espanyol,20,2.9,9,3.07,2,0.68,8,7,3,75.0,4,4,151,88.8,0,2,204,3,66.7,572,0,4,0,0,75
294,464,Ruben Rochina,es ESP,MFDF,Levante,26,1.7,6,3.58,1,0.60,8,5,4,66.7,0,2,62,72.1,0,1,112,8,62.5,494,1,7,1,0,75
295,465,Rodri,es ESP,MF,Villarreal,21,35.9,69,1.92,7,0.20,104,71,30,34.9,49,52,2227,89.7,3,23,2864,29,89.7,8308,1,32,10,0,82
296,466,Rodrigo,es ESP,FW,Valencia,26,29.8,92,3.09,17,0.57,23,13,3,14.3,14,17,688,74.1,4,35,1220,78,56.4,5538,16,91,37,2,84
297,467,Kevin Rodrigues,pt POR,DF,Real Sociedad,23,18.2,33,1.82,5,0.28,44,32,19,55.9,22,27,726,78.3,2,15,1119,23,56.5,2982,1,14,3,0,73
298,468,Angel Rodriguez,es ESP,FW,Getafe,30,25.5,47,1.84,6,0.24,28,19,3,11.5,18,6,260,66.3,2,18,669,47,46.8,2696,13,67,30,0,80
299,470,Diego Rolan,uy URU,FWMF,Málaga,24,21.6,60,2.77,2,0.09,33,25,9,20.5,18,12,472,77.9,0,20,882,91,46.2,4053,5,36,17,0,75
300,472,Oscar Romero,py PAR,MFFW,Alavés,25,2.8,10,3.60,0,0.00,5,2,0,0.0,3,3,44,59.5,0,5,115,9,22.2,343,0,8,3,2,68
301,474,Facundo Roncaglia,ar ARG,DF,Celta Vigo,30,16.6,11,0.66,0,0.00,35,25,22,61.1,18,31,945,87.3,0,2,1228,9,100.0,4451,0,5,1,0,75
302,477,Aitor Ruibal,es ESP,MF,Betis,21,0.1,0,0.00,0,0.00,0,0,0,,0,0,4,100.0,0,0,7,0,,17,0,0,0,0,72
303,478,Fabian Ruiz Peña,es ESP,MF,Betis,21,29.5,97,3.28,15,0.51,83,53,26,35.6,35,42,1813,85.5,6,33,2465,91,75.8,7517,3,40,17,1,67
304,479,Victor Ruiz,es ESP,DF,Villarreal,28,26.8,14,0.52,1,0.04,33,22,13,52.0,27,58,1218,85.2,1,3,1685,7,71.4,4130,2,5,2,0,82
305,481,Geronimo Rulli,ar ARG,GK,Real Sociedad,25,26.0,3,0.12,1,0.04,2,1,2,33.3,0,0,847,76.0,0,1,1177,0,,2877,0,0,0,0,81
306,484,Armando Sadiku,al ALB,FW,Levante,26,3.0,5,1.69,0,0.00,1,1,0,0.0,4,2,53,74.6,0,1,104,4,50.0,152,0,5,2,0,69
307,485,Sergi Samper,es ESP,MF,Las Palmas,22,1.6,1,0.63,0,0.00,10,4,2,66.7,0,0,69,82.1,0,0,96,4,75.0,356,0,0,0,0,73
308,486,Jairo Samperio,es ESP,FWMF,Las Palmas,24,6.2,10,1.62,0,0.00,9,6,3,23.1,5,1,96,61.9,0,4,206,16,62.5,685,0,9,1,0,67
309,487,Mikel San Jose,es ESP,MF,Athletic Club,28,23.9,38,1.59,3,0.13,52,37,19,26.0,43,41,800,78.0,1,12,1259,32,62.5,2693,1,20,5,1,77
