,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
308,Aïssa Mandi,dz ALG,DF,Betis,27,1991,28.6,33,16,22,9,2,16,33,48.5,17,175,54,30.9,91,72,12,46,19,0,27,24,57,144,1,Matches,fbd6378b
309,Eliaquim Mangala,fr FRA,DF,Valencia,28,1991,7.5,6,4,5,1,0,3,4,75.0,1,44,16,36.4,31,11,2,11,5,0,6,2,8,40,0,Matches,f520049f
310,Marcelo,br BRA,DF,Real Madrid,31,1988,14.4,20,12,7,11,2,10,33,30.3,23,137,45,32.8,44,63,30,21,1,0,20,15,35,21,0,Matches,603116a7
311,Óscar de Marcos,es ESP,DFFW,Athletic Club,30,1989,6.0,5,0,1,3,1,2,5,40.0,3,72,11,15.3,23,32,17,13,0,0,13,4,9,8,0,Matches,9f323c71
312,Miguel Marí,es ESP,MF,Eibar,22,1997,0.1,1,0,0,1,0,0,0,,0,4,0,0.0,1,2,1,1,0,0,1,0,1,0,0,Matches,d70a3661
313,José María Giménez,uy URU,DF,Atlético Madrid,24,1995,19.5,24,11,19,4,1,8,14,57.1,6,98,31,31.6,59,36,3,25,9,0,16,9,33,122,1,Matches,f0da930c
314,Mariano,do DOM,FW,Real Madrid,25,1993,0.5,0,0,0,0,0,0,1,0.0,1,14,3,21.4,2,8,4,1,0,0,1,0,0,0,0,Matches,5c4dc0ff
315,Adrián Marín,es ESP,DF,Alavés,22,1997,9.5,19,6,13,5,1,3,6,50.0,3,87,22,25.3,41,40,6,23,4,0,19,10,29,33,0,Matches,b7f2edff
316,Guillermo Maripán,cl CHI,DF,Alavés,25,1994,1.0,0,0,0,0,0,0,1,0.0,1,5,2,40.0,3,1,1,2,1,0,1,1,1,7,0,Matches,d9764034
317,Roger Martí,es ESP,FW,Levante,28,1991,25.2,20,11,8,8,4,5,23,21.7,18,451,85,18.8,46,238,167,20,2,0,18,7,27,16,0,Matches,0ae4e09a
318,Daniel Martín,es ESP,GK,Betis,21,1998,5.9,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,4df0dff8
319,Álex Martínez,es ESP,DF,Granada,28,1990,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches,e1c805cf
320,Iñigo Martínez,es ESP,DF,Athletic Club,28,1991,33.0,55,31,40,13,2,20,38,52.6,18,249,90,36.1,145,93,11,43,16,0,27,26,81,244,2,Matches,3fc45c73
321,Javi Martínez,es ESP,MF,Osasuna,19,1999,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,1,0,Matches,3672b352
322,Pablo Martínez,es ESP,MFFW,Levante,21,1998,0.4,2,2,2,0,0,0,1,0.0,1,25,6,24.0,8,12,5,1,1,0,0,1,3,3,0,Matches,ecc77652
323,Jordi Masip,es ESP,GK,Valladolid,30,1989,35.0,0,0,0,0,0,0,2,0.0,2,4,0,0.0,4,0,0,0,0,0,0,0,0,0,2,Matches,8fae77ea
324,Jaime Mata,es ESP,FW,Getafe,30,1988,30.5,26,12,3,14,9,4,18,22.2,14,455,109,24.0,35,197,223,22,2,0,20,4,30,18,0,Matches,02319ad7
