,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
401,Tomás Pina Isla,es ESP,MF,Alavés,30,1987,26.0,886,1059,83.7,15754,4958,377,440,85.7,401,445,90.1,91,131,69.5,0,1.5,-1.5,19,85,6,2,108,Matches,e54bd0a2
402,Gerard Piqué,es ESP,DF,Barcelona,31,1987,35.0,2230,2429,91.8,46352,14931,666,710,93.8,1209,1277,94.7,343,420,81.7,2,1.5,+0.5,8,156,5,0,103,Matches,adfc9123
403,Carles Planas,es ESP,DFMF,Girona,27,1991,4.7,165,223,74.0,3047,1155,63,71,88.7,82,106,77.4,18,41,43.9,1,0.4,+0.6,2,8,6,4,21,Matches,72b92c4e
404,Óscar Plano,es ESP,MFFW,Valladolid,27,1991,29.9,666,887,75.1,11292,2996,317,379,83.6,258,330,78.2,71,131,54.2,4,4.1,-0.1,32,66,27,8,72,Matches,7c388b20
405,Stiven Plaza,ec ECU,FWMF,Valladolid,19,1999,0.4,5,7,71.4,54,6,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,f4b7f2ec
406,Pere Pons,es ESP,MF,Girona,25,1993,31.0,964,1228,78.5,17435,4270,428,518,82.6,417,505,82.6,110,168,65.5,2,1.8,+0.2,14,83,11,2,78,Matches,29b61deb
407,Pedro Porro,es ESP,DFMF,Girona,18,1999,24.6,859,1230,69.8,16932,6451,334,396,84.3,390,513,76.0,124,261,47.5,4,2.4,+1.6,23,77,36,20,109,Matches,27d0a506
408,Francisco Portillo,es ESP,MFFW,Getafe,28,1990,22.2,592,808,73.3,9376,3340,331,394,84.0,194,256,75.8,58,111,52.3,4,2.4,+1.6,23,54,39,6,98,Matches,8e010ff4
409,Portu,es ESP,FWMF,Girona,26,1992,31.3,508,719,70.7,7893,2315,278,347,80.1,189,270,70.0,34,67,50.7,2,3.3,-1.3,33,40,36,17,67,Matches,1bda5842
410,Sergio Postigo,es ESP,DF,Levante,29,1988,16.1,392,496,79.0,8725,3640,119,128,93.0,191,212,90.1,78,143,54.5,1,0.8,+0.2,4,41,4,0,42,Matches,474ecac8
411,José Pozo,es ESP,MFFW,Rayo Vallecano,22,1996,18.0,617,768,80.3,10180,2655,311,360,86.4,244,291,83.8,51,95,53.7,0,1.4,-1.4,29,67,24,2,73,Matches,fc8b614b
412,Sanjin Prcić,ba BIH,MF,Levante,24,1993,5.9,231,280,82.5,4330,1204,98,112,87.5,104,117,88.9,27,46,58.7,0,0.1,-0.1,2,24,3,0,27,Matches,51c30111
413,Quincy Promes,nl NED,DFMF,Sevilla,26,1992,17.6,724,940,77.0,12079,4469,370,428,86.4,279,362,77.1,65,110,59.1,3,3.4,-0.4,26,54,32,12,79,Matches,b182a240
414,Javi Puado,es ESP,FWMF,Espanyol,20,1998,4.0,63,86,73.3,836,195,43,53,81.1,17,26,65.4,2,4,50.0,0,0.7,-0.7,4,5,3,0,6,Matches,2683eda7
415,Riqui Puig,es ESP,MF,Barcelona,18,1999,1.7,111,122,91.0,1817,255,55,62,88.7,50,51,98.0,5,8,62.5,0,0.6,-0.6,2,13,1,0,6,Matches,f090a37a
416,Jorge Pulido,es ESP,DF,Huesca,27,1991,30.9,814,1070,76.1,16211,6328,302,341,88.6,375,448,83.7,129,252,51.2,3,0.8,+2.2,11,43,8,2,56,Matches,978cd030
417,Xavi Quintillà,es ESP,DF,Villarreal,21,1996,7.0,288,366,78.7,4801,2082,147,156,94.2,121,152,79.6,18,47,38.3,0,0.4,-0.4,5,19,3,3,24,Matches,84fb6aff
418,Dani Raba,es ESP,MF,Villarreal,22,1995,2.1,71,96,74.0,1294,179,30,37,81.1,28,34,82.4,11,19,57.9,1,0.7,+0.3,5,2,2,0,5,Matches,ea6a7ab4
419,Rafinha,br BRA,FWMF,Barcelona,25,1993,2.5,137,152,90.1,2282,354,75,81,92.6,52,59,88.1,9,11,81.8,0,0.1,-0.1,2,11,2,0,8,Matches,0c2ac3cb
420,Ivan Rakitić,hr CRO,MF,Barcelona,30,1988,29.4,2357,2602,90.6,43441,11078,1024,1091,93.9,990,1066,92.9,301,380,79.2,5,2.3,+2.7,16,275,34,4,189,Matches,89f951b5
421,Jonás Ramalho,es ESP,DF,Girona,25,1993,18.0,648,791,81.9,12964,4798,209,224,93.3,353,396,89.1,83,146,56.8,0,0.1,-0.1,2,27,6,2,42,Matches,be3a0121
422,Sandro Ramírez,es ESP,FWMF,Real Sociedad,23,1995,11.7,280,384,72.9,4650,1242,141,169,83.4,108,144,75.0,24,52,46.2,0,1.4,-1.4,19,19,14,4,31,Matches,833fb62e
423,Iván Ramis,es ESP,DF,Eibar,33,1984,18.6,647,784,82.5,16774,4745,110,126,87.3,324,355,91.3,206,291,70.8,0,0.0,0.0,1,51,0,0,59,Matches,d2be40f2
424,Chris Ramos,es ESP,FW,Valladolid,21,1997,0.7,1,8,12.5,21,14,0,2,0.0,1,4,25.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,Matches,44e07fac
425,Sergio Ramos,es ESP,DF,Real Madrid,32,1986,27.5,1771,1933,91.6,38957,14729,563,597,94.3,818,868,94.2,379,450,84.2,1,0.8,+0.2,7,147,6,0,100,Matches,08511d65
426,Recio,es ESP,MF,Leganés,27,1991,14.3,562,665,84.5,9726,2524,272,297,91.6,218,253,86.2,62,86,72.1,0,0.1,-0.1,6,46,4,1,41,Matches,54073b28
427,Sergio Reguilón,es ESP,DF,Real Madrid,21,1996,12.4,663,780,85.0,10499,3715,389,415,93.7,210,244,86.1,54,90,60.0,2,1.5,+0.5,15,49,11,4,47,Matches,3353737a
428,Diego Reyes,mx MEX,DF,Leganés,25,1992,3.6,150,177,84.7,3413,1377,43,46,93.5,77,87,88.5,29,41,70.7,0,0.1,-0.1,1,20,1,0,16,Matches,d4f46475
429,Mikel Rico,es ESP,MF,Athletic Club,33,1984,2.7,72,92,78.3,1206,314,41,47,87.2,22,31,71.0,8,11,72.7,0,0.0,0.0,1,2,2,0,7,Matches,def69cd0
430,Asier Riesgo,es ESP,GK,Eibar,34,1983,14.0,218,384,56.8,10123,8302,17,17,100.0,49,50,98.0,152,317,47.9,0,0.0,0.0,0,25,0,0,0,Matches,581c5276
431,Cristian Rivera,es ESP,MF,Huesca,21,1997,18.8,580,719,80.7,10881,2632,234,279,83.9,260,289,90.0,76,116,65.5,0,0.7,-0.7,13,48,9,3,46,Matches,8ef81d2d
432,Rober,es ESP,DF,Levante,23,1995,31.7,897,1095,81.9,18894,6580,277,332,83.4,442,490,90.2,169,250,67.6,0,0.4,-0.4,6,53,5,0,60,Matches,c00097d2
433,Sergi Roberto,es ESP,DFMF,Barcelona,26,1992,23.2,1603,1779,90.1,24611,6372,906,958,94.6,585,652,89.7,82,108,75.9,7,3.4,+3.6,26,75,29,5,101,Matches,335fa267
434,Patrick Roberts,eng ENG,FW,Girona,21,1997,6.7,156,196,79.6,2620,689,83,101,82.2,57,70,81.4,14,19,73.7,0,0.5,-0.5,8,12,10,2,19,Matches,59d93937
435,Joel Robles,es ESP,GK,Betis,28,1990,5.0,147,186,79.0,4120,2590,27,27,100.0,73,75,97.3,47,84,56.0,0,0.0,0.0,0,2,0,0,0,Matches,cda0b317
436,Marc Roca,es ESP,MF,Espanyol,21,1996,34.6,1696,1937,87.6,34899,10283,606,677,89.5,778,871,89.3,298,362,82.3,2,2.8,-0.8,23,195,27,2,201,Matches,da27e268
437,Rubén Rochina,es ESP,MF,Levante,27,1991,20.0,708,1025,69.1,14474,4910,317,365,86.8,226,310,72.9,150,306,49.0,5,4.6,+0.4,28,100,29,5,95,Matches,ecd8c01e
438,Rodri,es ESP,MF,Atlético Madrid,22,1996,30.4,1767,1937,91.2,32494,8693,754,805,93.7,779,835,93.3,213,262,81.3,1,0.9,+0.1,17,179,10,0,129,Matches,6434f10d
439,Rodrigo,es ESP,FW,Valencia,27,1991,28.1,621,867,71.6,10413,2123,344,427,80.6,203,282,72.0,66,109,60.6,6,3.7,+2.3,30,52,30,2,81,Matches,1fb1c435
440,Kévin Rodrigues,pt POR,DF,Real Sociedad,24,1994,5.4,186,239,77.8,3313,1570,88,101,87.1,81,97,83.5,17,35,48.6,0,0.5,-0.5,7,12,3,2,23,Matches,f1bed920
441,Ángel Rodríguez,es ESP,FW,Getafe,31,1987,20.2,242,377,64.2,4123,1120,117,163,71.8,77,122,63.1,33,57,57.9,3,3.3,-0.3,16,25,19,4,41,Matches,8cfc2f69
442,Óscar Rodríguez Arnaiz,es ESP,MFFW,Leganés,20,1998,27.8,757,1088,69.6,14083,3977,364,451,80.7,264,348,75.9,118,244,48.4,3,3.8,-0.8,45,68,29,11,78,Matches,19709006
443,Marko Rog,hr CRO,MF,Sevilla,23,1995,4.0,183,216,84.7,2706,550,104,119,87.4,64,72,88.9,11,19,57.9,0,0.1,-0.1,4,12,4,1,11,Matches,b6b2b820
444,Diego Rolán,uy URU,MFDF,Leganés,25,1993,2.4,68,94,72.3,960,271,43,53,81.1,18,22,81.8,5,17,29.4,0,0.3,-0.3,2,2,3,2,3,Matches,d1491e00
445,Diego Rolán,uy URU,FWMF,Alavés,25,1993,3.3,73,89,82.0,998,210,46,48,95.8,20,29,69.0,3,6,50.0,0,0.1,-0.1,2,2,3,2,5,Matches,d1491e00
446,Facundo Roncaglia,ar ARG,DF,Valencia,31,1987,6.7,238,289,82.4,4838,1877,76,85,89.4,132,146,90.4,30,51,58.8,0,0.0,0.0,0,11,1,1,9,Matches,51e3954c
447,Facundo Roncaglia,ar ARG,DF,Celta Vigo,31,1987,11.9,474,570,83.2,9142,2885,155,171,90.6,268,301,89.0,48,85,56.5,0,0.1,-0.1,2,24,1,1,22,Matches,51e3954c
448,Roberto Rosales,ve VEN,DF,Espanyol,29,1988,19.4,880,1141,77.1,17395,7762,354,392,90.3,384,483,79.5,136,228,59.6,1,1.0,0.0,14,55,26,8,106,Matches,81069528
449,Waldo Rubio,es ESP,MFFW,Valladolid,22,1995,5.5,93,151,61.6,1565,528,46,61,75.4,39,56,69.6,6,23,26.1,0,0.3,-0.3,6,6,6,1,15,Matches,ccaa5728
450,Abel Ruiz,es ESP,FW,Barcelona,18,2000,0.2,9,12,75.0,108,18,6,7,85.7,3,5,60.0,0,0,,0,0.1,-0.1,1,0,0,0,0,Matches,6cbf8d0d
451,Víctor Ruiz,es ESP,DF,Villarreal,29,1989,21.9,1038,1211,85.7,21490,8652,351,372,94.4,511,553,92.4,170,265,64.2,0,0.3,-0.3,5,89,13,0,76,Matches,b3dc6eca
452,Gerónimo Rulli,ar ARG,GK,Real Sociedad,26,1992,27.0,779,1056,73.8,23981,13853,93,94,98.9,395,398,99.2,290,562,51.6,0,0.1,-0.1,1,6,0,0,0,Matches,625c144a
453,Samuel Sáiz,es ESP,MFFW,Getafe,27,1991,3.4,98,142,69.0,2114,531,34,55,61.8,42,53,79.2,20,30,66.7,0,0.2,-0.2,4,5,5,0,13,Matches,13e0eb29
454,Mikel San José,es ESP,MF,Athletic Club,29,1989,19.3,573,748,76.6,10395,3583,265,319,83.1,227,285,79.6,70,113,61.9,0,1.3,-1.3,13,66,22,3,94,Matches,003a5c72
455,Antonio Sanabria,py PAR,FW,Betis,22,1996,9.0,118,148,79.7,1724,315,63,74,85.1,40,51,78.4,9,13,69.2,0,0.1,-0.1,1,4,3,0,7,Matches,0a447501
456,Javi Sánchez,es ESP,DF,Real Madrid,21,1997,0.5,8,8,100.0,220,63,1,1,100.0,4,4,100.0,3,3,100.0,0,0.0,0.0,0,0,0,0,0,Matches,60359288
457,Víctor Sánchez,es ESP,MF,Espanyol,30,1987,14.1,459,574,80.0,7517,2419,232,258,89.9,162,198,81.8,45,78,57.7,2,0.7,+1.3,7,47,7,2,38,Matches,ad4d0985
458,Luca Sangalli,es ESP,MFFW,Real Sociedad,23,1995,11.1,282,390,72.3,4859,1252,133,165,80.6,106,143,74.1,36,63,57.1,3,1.4,+1.6,12,31,11,3,24,Matches,7958dc65
459,Nicola Sansone,it ITA,MFFW,Villarreal,26,1991,0.4,11,16,68.8,161,52,7,10,70.0,4,5,80.0,0,0,,1,0.1,+0.9,1,1,0,0,2,Matches,7eb97a8e
460,Roberto Santamaría,es ESP,GK,Huesca,33,1985,20.0,301,586,51.4,15922,13042,10,11,90.9,53,58,91.4,238,517,46.0,0,0.0,0.0,1,23,0,0,1,Matches,bca21ef3
461,Michael Santos,uy URU,FWMF,Leganés,25,1993,6.2,71,104,68.3,1006,258,47,59,79.7,17,30,56.7,4,5,80.0,3,0.8,+2.2,6,4,5,1,11,Matches,3cb6f224
462,Pablo Sarabia,es ESP,MFFW,Sevilla,26,1992,30.3,1062,1447,73.4,17903,5951,556,659,84.4,384,477,80.5,104,240,43.3,13,9.1,+3.9,68,89,72,21,144,Matches,9744ff80
463,Lluís Sastre,es ESP,MF,Huesca,32,1986,1.3,74,95,77.9,1270,316,33,38,86.8,32,33,97.0,8,19,42.1,0,0.0,0.0,1,9,3,0,10,Matches,5f186f5c
464,Stefan Savić,me MNE,DF,Atlético Madrid,27,1991,15.5,447,542,82.5,9887,3394,142,153,92.8,207,227,91.2,97,158,61.4,2,0.1,+1.9,2,43,1,0,33,Matches,f6ac68c1
465,Alfa Semedo,gw GNB,MF,Espanyol,20,1997,0.5,18,25,72.0,362,114,7,11,63.6,8,10,80.0,2,2,100.0,0,0.0,0.0,1,2,0,0,1,Matches,07750704
466,Nélson Semedo,pt POR,DF,Barcelona,24,1993,17.8,1098,1217,90.2,15826,3747,685,729,94.0,341,382,89.3,52,66,78.8,0,0.4,-0.4,4,45,9,0,37,Matches,d04b94db
467,Rúben Semedo,pt POR,DF,Huesca,24,1994,9.4,316,364,86.8,7235,2106,71,78,91.0,176,193,91.2,67,87,77.0,0,0.0,0.0,0,8,2,0,18,Matches,c904f3d5
468,Paik Seung-ho,kr KOR,FWMF,Girona,21,1997,0.7,17,20,85.0,331,108,10,12,83.3,5,5,100.0,2,3,66.7,0,0.0,0.0,0,4,0,0,2,Matches,1e1bea09
469,Gaku Shibasaki,jp JPN,MFFW,Getafe,26,1992,4.3,83,137,60.6,1610,530,35,51,68.6,34,51,66.7,11,26,42.3,0,0.1,-0.1,2,6,5,3,14,Matches,d2ac648c
470,Sidnei,br BRA,DF,Betis,28,1989,19.4,1133,1271,89.1,22307,5886,405,439,92.3,563,604,93.2,159,213,74.6,0,0.1,-0.1,2,65,5,1,64,Matches,b14d0c5d
471,André Silva,pt POR,FW,Sevilla,22,1995,24.0,399,550,72.5,5551,1557,264,332,79.5,108,145,74.5,16,33,48.5,0,4.0,-4.0,28,30,26,3,60,Matches,3effaa34
472,Jonathan Silva,ar ARG,DF,Leganés,24,1994,30.0,869,1290,67.4,16393,8234,400,475,84.2,326,436,74.8,125,320,39.1,6,3.6,+2.4,46,69,35,23,88,Matches,f2308b33
473,Moses Simon,ng NGA,DFMF,Levante,23,1995,8.7,212,299,70.9,3638,1419,103,124,83.1,85,112,75.9,20,46,43.5,1,0.5,+0.5,6,18,5,1,25,Matches,5f3eaaf5
474,Unai Simón,es ESP,GK,Athletic Club,21,1997,7.0,112,183,61.2,4122,2874,13,13,100.0,48,50,96.0,51,120,42.5,0,0.0,0.0,0,2,0,0,0,Matches,5dcf3e90
475,Dimitris Siovas,gr GRE,DF,Leganés,29,1988,32.9,1052,1448,72.7,23423,8871,288,343,84.0,537,653,82.2,215,421,51.1,0,1.3,-1.3,12,87,10,2,107,Matches,92d38e6c
476,Pione Sisto,dk DEN,FWMF,Celta Vigo,23,1995,9.4,379,456,83.1,6376,1391,210,228,92.1,121,142,85.2,41,66,62.1,1,1.0,0.0,15,25,10,1,32,Matches,fd9c4805
477,Antonio Sivera,es ESP,GK,Alavés,21,1996,3.0,47,102,46.1,2387,1994,3,3,100.0,7,7,100.0,37,92,40.2,0,0.1,-0.1,1,0,0,0,0,Matches,9970da54
478,Rubén Sobrino,es ESP,FWMF,Alavés,26,1992,10.7,178,253,70.4,2573,542,102,140,72.9,55,75,73.3,11,20,55.0,1,1.1,-0.1,9,12,4,2,13,Matches,19b776e9
479,Rubén Sobrino,es ESP,FWMF,Valencia,26,1992,2.1,35,48,72.9,494,75,19,25,76.0,15,19,78.9,0,1,0.0,0,0.1,-0.1,1,2,0,0,2,Matches,19b776e9
480,Alex Sola,es ESP,DF,Real Sociedad,19,1999,1.0,61,76,80.3,953,404,33,37,89.2,26,34,76.5,2,3,66.7,0,0.1,-0.1,1,5,1,1,3,Matches,5fa714d5
481,Andrés Solano,co COL,DF,Atlético Madrid,20,1998,0.5,22,27,81.5,423,140,9,9,100.0,11,15,73.3,2,3,66.7,0,0.0,0.0,0,0,0,0,2,Matches,c8764028
482,Carlos Soler,es ESP,MF,Valencia,21,1997,27.3,749,983,76.2,13195,4483,356,423,84.2,290,365,79.5,87,154,56.5,6,3.9,+2.1,33,69,34,12,104,Matches,fed17f5a
483,Kévin Soni,cm CMR,FWDF,Girona,20,1998,0.9,19,26,73.1,287,49,12,14,85.7,6,8,75.0,1,4,25.0,0,0.2,-0.2,3,1,0,0,1,Matches,6435143e
484,David Soria,es ESP,GK,Getafe,25,1993,37.0,454,1071,42.4,24759,20646,4,7,57.1,60,62,96.8,390,1001,39.0,0,0.1,-0.1,2,62,4,0,0,Matches,8f8c6934
485,Juan Soriano,es ESP,GK,Sevilla,20,1997,4.0,78,145,53.8,2605,1566,10,11,90.9,31,32,96.9,36,100,36.0,0,0.0,0.0,0,0,0,0,0,Matches,5512b1a9
486,Cristhian Stuani,uy URU,FW,Girona,31,1986,30.3,352,501,70.3,5096,606,216,277,78.0,100,156,64.1,19,32,59.4,0,1.0,-1.0,14,19,5,0,18,Matches,220c11f1
487,Damián Suárez,uy URU,DF,Getafe,30,1988,36.0,1333,1966,67.8,28744,15942,523,620,84.4,542,734,73.8,257,555,46.3,3,4.4,-1.4,62,126,52,21,164,Matches,ba5004e1
488,Denis Suárez,es ESP,MF,Barcelona,24,1994,0.2,14,20,70.0,225,62,8,10,80.0,5,7,71.4,1,1,100.0,0,0.1,-0.1,1,0,2,1,1,Matches,12c50af5
489,Leonardo Suárez,ar ARG,FWMF,Valladolid,22,1996,5.7,114,149,76.5,1921,518,55,68,80.9,45,57,78.9,13,19,68.4,0,0.4,-0.4,3,15,4,0,17,Matches,25c72b36
490,Luis Suárez,uy URU,FW,Barcelona,31,1987,31.4,767,1025,74.8,12821,2315,424,523,81.1,233,307,75.9,85,114,74.6,6,6.7,-0.7,50,38,39,5,69,Matches,a6154613
491,Mario Suárez,es ESP,MF,Rayo Vallecano,31,1987,11.4,454,558,81.4,8709,2588,179,200,89.5,200,243,82.3,66,100,66.0,0,0.6,-0.6,9,43,6,0,42,Matches,7106f0a0
492,Markel Susaeta,es ESP,FW,Athletic Club,30,1987,15.3,474,651,72.8,7638,2061,251,291,86.3,170,213,79.8,43,115,37.4,2,2.4,-0.4,33,27,22,8,26,Matches,6fd1ba62
493,Rodrigo Tarín,es ESP,DF,Leganés,22,1996,15.9,392,525,74.7,8235,3022,119,140,85.0,209,255,82.0,59,113,52.2,0,0.0,0.0,1,22,3,1,22,Matches,a03c82b2
494,Cristian Tello,es ESP,DFMF,Betis,26,1991,17.5,785,936,83.9,13467,3341,393,445,88.3,305,352,86.6,78,107,72.9,6,2.7,+3.3,25,39,23,7,62,Matches,72a99e38
495,Marc-André ter Stegen,de GER,GK,Barcelona,26,1992,35.0,911,1060,85.9,24793,14973,141,142,99.3,471,475,99.2,295,439,67.2,0,0.0,0.0,1,5,0,0,0,Matches,6f51e382
496,David Timor,es ESP,MFFW,Girona,28,1989,1.8,72,92,78.3,1520,330,27,32,84.4,32,39,82.1,13,21,61.9,0,0.1,-0.1,2,4,2,0,4,Matches,174651c8
497,Tito,es ESP,DF,Rayo Vallecano,33,1985,12.2,481,617,78.0,7927,3627,231,256,90.2,219,275,79.6,29,71,40.8,0,0.1,-0.1,6,39,4,2,39,Matches,7cefa219
498,Jean-Clair Todibo,fr FRA,DF,Barcelona,18,1999,1.7,108,116,93.1,1856,607,43,43,100.0,59,63,93.7,5,9,55.6,0,0.0,0.0,0,5,0,0,7,Matches,88f130ed
499,Karl Toko Ekambi,cm CMR,FW,Villarreal,25,1992,23.8,380,520,73.1,6158,995,211,260,81.2,130,180,72.2,33,53,62.3,1,1.9,-0.9,21,17,14,6,27,Matches,5ceba7fc
500,Raúl de Tomás,es ESP,FW,Rayo Vallecano,23,1994,31.3,402,501,80.2,7188,1100,201,233,86.3,137,156,87.8,54,85,63.5,1,1.8,-0.8,20,32,11,0,37,Matches,02ef8778
501,Toño,es ESP,DFMF,Levante,28,1989,19.6,657,885,74.2,10374,5197,366,422,86.7,245,310,79.0,40,118,33.9,2,1.5,+0.5,17,53,20,4,82,Matches,d4ef9ac5
502,Daniel Torres,co COL,MF,Alavés,28,1989,0.8,14,16,87.5,217,59,6,6,100.0,8,8,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches,87882adc
503,Ferrán Torres,es ESP,MFFW,Valencia,18,2000,9.4,245,338,72.5,3910,1238,133,170,78.2,84,109,77.1,21,40,52.5,1,1.5,-0.5,12,10,20,7,29,Matches,9e1035f8
504,Óscar Trejo,ar ARG,MFFW,Rayo Vallecano,30,1988,19.6,669,877,76.3,10262,3059,372,439,84.7,236,295,80.0,42,98,42.9,4,2.4,+1.6,25,72,18,3,86,Matches,fc647b34
505,Manu Trigueros,es ESP,MF,Villarreal,26,1991,17.2,863,1006,85.8,16473,4705,342,368,92.9,392,436,89.9,120,182,65.9,0,1.2,-1.2,14,95,19,0,88,Matches,963829d0
506,Patrick Twumasi,gh GHA,MFFW,Alavés,24,1994,1.9,45,71,63.4,899,296,17,24,70.8,16,19,84.2,10,24,41.7,0,0.4,-0.4,2,4,5,3,5,Matches,e3993b65
507,Samuel Umtiti,fr FRA,DF,Barcelona,24,1993,13.2,839,892,94.1,16155,5395,292,304,96.1,425,444,95.7,115,133,86.5,1,0.4,+0.6,1,54,0,0,58,Matches,3eed9821
508,Enes Ünal,tr TUR,FW,Valladolid,21,1997,23.9,379,526,72.1,5404,1138,238,299,79.6,104,153,68.0,24,40,60.0,3,1.0,+2.0,16,35,7,1,39,Matches,f8eca1b6
509,Tomáš Vaclík,cz CZE,GK,Sevilla,29,1989,33.0,599,996,60.1,20709,14135,70,73,95.9,237,241,98.3,286,673,42.5,0,0.0,0.0,0,7,0,0,2,Matches,7b456af7
510,Valery,es ESP,DFMF,Girona,18,1999,9.9,328,414,79.2,5457,1814,155,173,89.6,146,175,83.4,22,52,42.3,1,0.8,+0.2,4,13,6,5,22,Matches,4acd733a
511,Jesús Vallejo,es ESP,DFMF,Real Madrid,21,1997,3.5,131,149,87.9,2954,985,34,37,91.9,68,71,95.8,28,40,70.0,0,0.0,0.0,0,0,0,0,5,Matches,c2111b45
512,Federico Valverde,uy URU,MF,Real Madrid,20,1998,7.3,325,367,88.6,5575,1612,173,187,92.5,111,121,91.7,37,50,74.0,0,0.4,-0.4,9,39,7,1,31,Matches,0959c2a2
513,Raphaël Varane,fr FRA,DF,Real Madrid,25,1993,30.6,1523,1696,89.8,33690,9635,404,435,92.9,801,851,94.1,308,385,80.0,0,0.2,-0.2,3,83,2,0,57,Matches,9f8e9423
514,Franco Vázquez,ar ARG,MFFW,Sevilla,29,1989,25.3,872,1129,77.2,15302,4192,425,502,84.7,341,426,80.0,97,150,64.7,4,4.2,-0.2,29,91,32,7,124,Matches,467bae22
515,Kevin Vázquez,es ESP,DF,Celta Vigo,25,1993,2.4,86,112,76.8,1422,480,40,48,83.3,38,46,82.6,6,13,46.2,0,0.0,0.0,1,1,3,0,5,Matches,ee923664
516,Lucas Vázquez,es ESP,FW,Real Madrid,27,1991,16.8,788,973,81.0,11850,3319,505,550,91.8,202,251,80.5,66,119,55.5,3,4.0,-1.0,30,46,37,10,80,Matches,fd51b456
517,Koke Vegas,es ESP,GK,Levante,22,1995,1.0,18,22,81.8,479,274,5,5,100.0,7,7,100.0,6,10,60.0,0,0.0,0.0,0,0,0,0,0,Matches,bfb15d99
518,Emiliano Velázquez,uy URU,DF,Rayo Vallecano,24,1994,14.2,394,542,72.7,8709,4171,119,139,85.6,199,244,81.6,75,144,52.1,2,0.9,+1.1,8,31,5,2,32,Matches,5efb80d5
519,Daniele Verde,it ITA,FWMF,Valladolid,22,1996,7.3,211,312,67.6,3509,1200,114,131,87.0,69,99,69.7,25,67,37.3,0,1.3,-1.3,12,15,12,3,22,Matches,d3298c99
520,Thomas Vermaelen,be BEL,DF,Barcelona,32,1985,6.5,367,388,94.6,7274,2026,113,118,95.8,216,225,96.0,37,42,88.1,0,0.0,0.0,0,32,0,0,18,Matches,d0d79694
521,Mikel Vesga,es ESP,MF,Leganés,25,1993,23.0,639,816,78.3,11151,2625,308,356,86.5,244,299,81.6,67,117,57.3,1,1.1,-0.1,15,61,16,9,52,Matches,b0fce72c
522,Rúben Vezo,pt POR,DF,Valencia,24,1994,2.2,89,122,73.0,1527,591,42,44,95.5,38,49,77.6,7,23,30.4,0,0.2,-0.2,2,4,0,0,5,Matches,c67cd65c
523,Rúben Vezo,pt POR,DF,Levante,24,1994,14.9,413,526,78.5,9627,3598,106,120,88.3,204,231,88.3,101,158,63.9,1,0.8,+0.2,3,26,2,1,33,Matches,c67cd65c
524,Aleix Vidal,es ESP,DFMF,Sevilla,28,1989,5.9,239,321,74.5,4693,1789,93,113,82.3,108,138,78.3,33,57,57.9,0,1.1,-1.1,14,22,11,3,40,Matches,04965583
525,Arturo Vidal,cl CHI,MF,Barcelona,31,1987,21.4,1356,1503,90.2,22672,4574,669,710,94.2,548,593,92.4,112,152,73.7,7,5.0,+2.0,22,97,23,0,79,Matches,67cdbc0e
526,Carlos Vigaray,es ESP,DF,Alavés,23,1994,7.2,172,229,75.1,3249,1731,77,85,90.6,70,90,77.8,23,45,51.1,0,0.3,-0.3,5,13,8,4,16,Matches,f69d934e
527,Dídac Vilà,es ESP,DF,Espanyol,29,1989,26.2,1042,1438,72.5,19467,7269,432,522,82.8,475,606,78.4,118,253,46.6,2,2.9,-0.9,17,79,26,10,112,Matches,bad38a94
528,Toni Villa,es ESP,MFFW,Valladolid,23,1995,19.6,438,601,72.9,7429,1786,220,265,83.0,163,216,75.5,46,82,56.1,2,2.0,0.0,24,39,18,4,51,Matches,636eae97
529,Vitolo,es ESP,MFFW,Atlético Madrid,28,1989,8.4,259,331,78.2,3587,1016,180,211,85.3,56,76,73.7,16,25,64.0,1,1.1,-0.1,6,17,14,1,32,Matches,db750822
530,Nikola Vukčević,me MNE,MF,Levante,26,1991,7.4,206,251,82.1,3537,1097,99,114,86.8,83,103,80.6,20,29,69.0,0,0.2,-0.2,1,15,1,0,23,Matches,4442fbcd
531,Moussa Wagué,sn SEN,DF,Barcelona,19,1998,2.5,125,148,84.5,1832,444,77,84,91.7,44,52,84.6,4,8,50.0,0,0.4,-0.4,5,8,3,1,8,Matches,808df563
532,Wakaso,gh GHA,MF,Alavés,28,1990,18.5,506,669,75.6,10871,3081,178,209,85.2,212,264,80.3,107,177,60.5,1,0.5,+0.5,8,70,14,4,68,Matches,999908af
533,Daniel Wass,dk DEN,DFMF,Valencia,29,1989,26.2,1056,1364,77.4,18361,6967,488,548,89.1,462,561,82.4,92,201,45.8,3,4.1,-1.1,33,83,26,10,108,Matches,d83bbc54
534,Axel Werner,ar ARG,GK,Huesca,22,1996,6.0,76,159,47.8,3127,2369,4,4,100.0,26,28,92.9,46,127,36.2,0,0.0,0.0,0,0,0,0,0,Matches,c0b1a6da
